dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,probes_per_gene
GSE63061,645996,ILMN_3221888,0.00427556400660979,NAP1L6,NAP1L6,nucleosome assembly protein 1 like 6,2
GSE63061,646,ILMN_1751465,0.00110861443210275,BNC1,BNC1,basonuclin 1,1
GSE63061,64601,ILMN_1778078,0.0514658845994397,VPS16,VPS16,"VPS16, CORVET/HOPS core subunit",2
GSE63061,646019,ILMN_1690704,0.00227923563898627,CBY3,CBY3,chibby family member 3,2
GSE63061,646024,ILMN_3247069,0.0018116020926779,RAET1K,RAET1K,retinoic acid early transcript 1K pseudogene,1
GSE63061,646074,ILMN_1699722,0.0016953496744471,POM121L10P,POM121L10P,"POM121 transmembrane nucleoporin like 10, pseudogene",1
GSE63061,6461,ILMN_1732612,0.0131197078681381,SHB,SHB,SH2 domain containing adaptor protein B,1
GSE63061,646214,ILMN_3243351,0.0307105487367681,LOC646214,LOC646214,p21 protein (Cdc42/Rac)-activated kinase 2 pseudogene,1
GSE63061,646243,ILMN_1685323,0.00128542699725,CXADRP2,CXADRP2,coxsackie virus and adenovirus receptor pseudogene 2,1
GSE63061,646300,ILMN_1685447,0.0329122560359587,COL6A4P2,COL6A4P2,collagen type VI alpha 4 pseudogene 2,2
GSE63061,6464,ILMN_1721022,0.0244093827777726,SHC1,SHC1,SHC adaptor protein 1,2
GSE63061,64641,ILMN_1694736,0.00195312064272317,EBF2,EBF2,early B-cell factor 2,2
GSE63061,646424,ILMN_1728898,0.00204482590434346,SPINK8,SPINK8,"serine peptidase inhibitor, Kazal type 8 (putative)",1
GSE63061,64645,ILMN_1763007,0.0272409415798667,MFSD14A,MFSD14A,major facilitator superfamily domain containing 14A,2
GSE63061,646450,ILMN_3241670,0.00662560402236344,ARIH2OS,ARIH2OS,ariadne homolog 2 opposite strand,1
GSE63061,64648,ILMN_1713125,0.000963486950418856,SPANXD,SPANXD,SPANX family member D,1
GSE63061,64651,ILMN_1703123,0.073085127690726,CSRNP1,CSRNP1,cysteine and serine rich nuclear protein 1,1
GSE63061,646603,ILMN_1709763,0.000851226875020923,C4orf51,C4orf51,chromosome 4 open reading frame 51,1
GSE63061,646625,ILMN_1716639,0.000562361783515422,URAD,URAD,ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase,1
GSE63061,646626,ILMN_3230582,0.000800052079618354,LOC646626,LOC646626,uncharacterized LOC646626,1
GSE63061,646754,ILMN_3206531,0.000474857266142754,TRIM64C,TRIM64C,tripartite motif containing 64C,2
GSE63061,6468,ILMN_1671427,0.029585136008853,FBXW4,FBXW4,F-box and WD repeat domain containing 4,1
GSE63061,64682,ILMN_1659553,0.0236256855163013,ANAPC1,ANAPC1,anaphase promoting complex subunit 1,2
GSE63061,64689,ILMN_1716821,0.0252669432056176,GORASP1,GORASP1,golgi reassembly stacking protein 1,1
GSE63061,646892,ILMN_1701610,0.000673832824153383,SH2D7,SH2D7,SH2 domain containing 7,1
GSE63061,646938,ILMN_1689876,0.00570536718238303,LOC646938,LOC646938,TBC1 domain family member 2B pseudogene,2
GSE63061,64699,ILMN_2358474,0.00347817986413083,TMPRSS3,TMPRSS3,"transmembrane protease, serine 3",4
GSE63061,6470,ILMN_1811933,0.0204769629332894,SHMT1,SHMT1,serine hydroxymethyltransferase 1,2
GSE63061,647012,ILMN_3284530,0.00209616382581171,YY1P2,YY1P2,YY1 transcription factor pseudogene 2,1
GSE63061,647033,ILMN_2181748,0.00159272660880215,PA2G4P4,PA2G4P4,proliferation-associated 2G4 pseudogene 4,1
GSE63061,647060,ILMN_1652939,0.00277567086885244,SPATA31A1,SPATA31A1,SPATA31 subfamily A member 1,1
GSE63061,64708,ILMN_1784785,0.0171377221140424,COPS7B,COPS7B,COP9 signalosome subunit 7B,1
GSE63061,64710,ILMN_3251404,0.0767752992479867,NUCKS1,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1,3
GSE63061,64711,ILMN_1710416,0.00233568476275522,HS3ST6,HS3ST6,heparan sulfate-glucosamine 3-sulfotransferase 6,1
GSE63061,647121,ILMN_1774779,0.00834452695198308,EMBP1,EMBP1,embigin pseudogene 1,1
GSE63061,647174,ILMN_3242398,0.00203847229194133,SERPINE3,SERPINE3,serpin family E member 3,2
GSE63061,64718,ILMN_2126408,0.00487113666623643,UNKL,UNKL,unkempt family like zinc finger,2
GSE63061,6472,ILMN_1661264,0.0300834011386427,SHMT2,SHMT2,serine hydroxymethyltransferase 2,1
GSE63061,647288,ILMN_3204768,0.0027234889026871,CTAGE11P,CTAGE11P,"CTAGE family member 11, pseudogene",1
GSE63061,647309,ILMN_1788991,0.00160187895886377,GMNC,GMNC,geminin coiled-coil domain containing,1
GSE63061,647310,ILMN_1671249,0.00413346661303917,TEX22,TEX22,testis expressed 22,1
