dataset_accession,expression_column,sample_geo_accession,sample_title,diagnosis_clean,n_features,missing_values,missing_fraction,mean,sd,min,q1,median,q3,max,iqr,median_mad_z,iqr_mad_z,qc_flag
GSE63060,4856076018_H,GSM1539149,4856076018_H,Control,38322,0,0,7.91215014183242,0.958721207324995,7.20448891,7.45096596975,7.54321732,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050059_L,GSM1539150,4856050059_L,Control,38322,0,0,7.91215387705686,0.958719561992273,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076002_B,GSM1539151,4856076002_B,Control,38322,0,0,7.91215337086517,0.958719817650152,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050058_J,GSM1539152,4856050058_J,Control,38322,0,0,7.91215396562447,0.958719516222699,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076018_B,GSM1539153,4856076018_B,Control,38322,0,0,7.91215597086893,0.95871839574953,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050003_I,GSM1539154,4856050003_I,Control,38322,0,0,7.91215630237963,0.958718195047389,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076009_L,GSM1539155,4856076009_L,Control,38322,0,0,7.9121523586727,0.958720298108047,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076008_K,GSM1539156,4856076008_K,Control,38322,0,0,7.91215372082097,0.958719641991358,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076008_A,GSM1539157,4856076008_A,Control,38322,0,0,7.91215323999932,0.958719882070803,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050047_F,GSM1539158,4856050047_F,Control,38322,0,0,7.91215271605895,0.958720133099962,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
