gene_id,gene_symbol,s3_logFC,s3_rank,raw_auc,oriented_auc_s3,oracle_auc,oracle_sign
3150,HMGN1,-0.247441251763484,403,0.437469135802469,0.562530864197531,0.562530864197531,-1
29081,METTL5,-0.301896754440588,87,0.437654320987654,0.562345679012346,0.562345679012346,-1
51185,CRBN,-0.241490788402417,394,0.43783950617284,0.562160493827161,0.562160493827161,-1
81892,SLIRP,-0.646418546722055,45,0.43820987654321,0.56179012345679,0.56179012345679,-1
10283,CWC27,-0.206633671885919,81,0.438271604938272,0.561728395061729,0.561728395061729,-1
2745,GLRX,-0.250883008234462,426,0.438271604938272,0.561728395061729,0.561728395061729,-1
2205,FCER1A,-0.43323392102203,389,0.438703703703704,0.561296296296296,0.561296296296296,-1
51019,CCDC53,-0.374820100278523,48,0.439012345679012,0.560987654320988,0.560987654320988,-1
388789,LINC00493,-0.207715563383068,178,0.439012345679012,0.560987654320988,0.560987654320988,-1
1178,CLC,-0.534846275060161,386,0.439074074074074,0.560925925925926,0.560925925925926,-1
7297,TYK2,0.302225839418144,79,0.560864197530864,0.560864197530864,0.560864197530864,1
6189,RPS3A,-0.556010713899271,383,0.439135802469136,0.560864197530864,0.560864197530864,-1
114932,MRFAP1L1,-0.335412833079201,197,0.439197530864198,0.560802469135803,0.560802469135803,-1
4637,MYL6,-0.424170635051685,182,0.439506172839506,0.560493827160494,0.560493827160494,-1
84265,POLR3GL,-0.326277050119107,132,0.43962962962963,0.560370370370371,0.560370370370371,-1
11222,MRPL3,-0.35913716896785,272,0.439814814814815,0.560185185185185,0.560185185185185,-1
54499,TMCO1,-0.447370436701963,290,0.44,0.56,0.56,-1
56943,ENY2,-0.665704207880317,19,0.440061728395062,0.559938271604938,0.559938271604938,-1
2896,GRN,0.272038258235453,372,0.440123456790123,0.440123456790123,0.559876543209877,-1
6139,RPL17,-0.473174747766547,138,0.440185185185185,0.559814814814815,0.559814814814815,-1
10808,HSPH1,-0.234823267530886,295,0.440493827160494,0.559506172839506,0.559506172839506,-1
1933,EEF1B2,-0.658471254216218,110,0.440555555555556,0.559444444444444,0.559444444444444,-1
6135,RPL11,-0.464055249209586,129,0.440617283950617,0.559382716049383,0.559382716049383,-1
9086,EIF1AY,-0.324988685250444,454,0.558950617283951,0.441049382716049,0.558950617283951,1
6160,RPL31,-0.802992162260464,200,0.441111111111111,0.558888888888889,0.558888888888889,-1
59286,UBL5,-0.265220459736284,282,0.441111111111111,0.558888888888889,0.558888888888889,-1
55924,FAM212B,0.272947063125757,435,0.558395061728395,0.558395061728395,0.558395061728395,1
51651,PTRH2,-0.330218168614094,64,0.44216049382716,0.55783950617284,0.55783950617284,-1
168544,ZNF467,0.207465738897329,425,0.557592592592593,0.557592592592593,0.557592592592593,1
3476,IGBP1,-0.311037816994966,61,0.442592592592593,0.557407407407407,0.557407407407407,-1
5356,PLRG1,-0.228116716937464,180,0.442962962962963,0.557037037037037,0.557037037037037,-1
1622,DBI,-0.810907786028288,57,0.443148148148148,0.556851851851852,0.556851851851852,-1
653505,PPIAL4A,-0.428632417974085,40,0.443271604938272,0.556728395061728,0.556728395061728,-1
9482,STX8,-0.204448751730035,140,0.443456790123457,0.556543209876543,0.556543209876543,-1
1347,COX7A2,-0.490172143365937,238,0.443703703703704,0.556296296296296,0.556296296296296,-1
2959,GTF2B,-0.383973101583747,46,0.444197530864198,0.555802469135803,0.555802469135803,-1
54849,DEF8,0.23252743328657,284,0.444320987654321,0.444320987654321,0.555679012345679,-1
3820,KLRB1,-0.662570927010203,205,0.444444444444444,0.555555555555556,0.555555555555556,-1
537,ATP6AP1,0.211295916236387,244,0.444506172839506,0.444506172839506,0.555493827160494,-1
1350,COX7C,-0.767289927500838,246,0.444506172839506,0.555493827160494,0.555493827160494,-1
162073,ITPRIPL2,0.217273922220343,377,0.444876543209877,0.444876543209877,0.555123456790124,-1
27089,UQCRQ,-0.564885217189112,202,0.445185185185185,0.554814814814815,0.554814814814815,-1
5701,PSMC2,-0.411222862156814,55,0.445308641975309,0.554691358024691,0.554691358024691,-1
285172,FAM126B,0.249414725379585,351,0.554320987654321,0.554320987654321,0.554320987654321,1
301,ANXA1,-0.621761837738034,214,0.445740740740741,0.554259259259259,0.554259259259259,-1
6902,TBCA,-0.617879678554818,17,0.445987654320988,0.554012345679012,0.554012345679012,-1
56945,MRPS22,-0.310232284621311,164,0.446481481481482,0.553518518518519,0.553518518518519,-1
