dataset_accession,gene_id,gene_symbol,s3_rank,s3_logFC,validation_logFC,validation_P.Value,validation_adj.P.Val,direction_concordant,nominal_concordant,fdr_concordant,auc_oriented,s3_adj.P.Val,s3_P.Value,validation_AveExpr,validation_t,validation_B,mapped,auc_ge_060
GSE140829,6229,RPS24,60,-0.206663941768457,-0.0615144169944509,0.372336179766157,0.764071309387238,TRUE,FALSE,FALSE,0.534184641171541,9.15701748057297e-11,1.79212022087306e-13,11.5424046009241,-0.893086196871589,-6.47485637688943,TRUE,FALSE
GSE140829,3476,IGBP1,61,-0.311037816994966,-0.0434550224359809,0.0970849777086497,0.495330380461539,TRUE,FALSE,FALSE,0.550284504432976,9.75634712851059e-11,1.96033278246259e-13,9.3535445954347,-1.66296757548684,-5.50322178397004,TRUE,FALSE
GSE140829,23256,SCFD1,62,-0.235144091537271,-0.0108211330670561,0.555137572588588,0.855255596727696,TRUE,FALSE,FALSE,0.516254245511887,9.97517129869051e-11,2.03033077944225e-13,9.06940418588569,-0.590565772929093,-6.6971300605202,TRUE,FALSE
GSE140829,522,ATP5J,63,-0.70313017355566,-0.0567656401139935,0.175763887429515,0.593941506729159,TRUE,FALSE,FALSE,0.536765030214812,1.02735081465051e-10,2.14467055926206e-13,10.1034036084726,-1.35626248205203,-5.959857081165,TRUE,FALSE
GSE140829,51651,PTRH2,64,-0.330218168614094,-0.0215361700287198,0.357696556565114,0.753623464655571,TRUE,FALSE,FALSE,0.531096996162498,1.17446206975318e-10,2.57436495640277e-13,8.67517787916776,-0.920802069518363,-6.44997507957217,TRUE,FALSE
GSE140829,27258,LSM3,65,-0.681970100185923,-0.0264500033973376,0.585931035859505,0.869021570857011,TRUE,FALSE,FALSE,0.525076088394866,1.30095275227715e-10,2.88557444662486e-13,8.54112677075884,-0.545173961047898,-6.72267622975816,TRUE,FALSE
GSE140829,10094,ARPC3,66,-0.444399561747545,-0.0211692197393412,0.357612702264316,0.753623464655571,TRUE,FALSE,FALSE,0.504896122800053,1.32835185520225e-10,2.9810098519752e-13,12.2919290081318,-0.920962858411152,-6.44982852576746,TRUE,FALSE
GSE140829,6728,SRP19,67,-0.285790129529138,-0.0119627196935929,0.597152546137018,0.874157838576368,TRUE,FALSE,FALSE,0.520576948524547,1.34563041945869e-10,3.05489918305166e-13,8.32962296966396,-0.528913239642331,-6.73133160297872,TRUE,FALSE
GSE140829,246184,CDC26,68,-0.258705000776052,-0.0419233096191555,0.0490004296897624,0.395746636350331,TRUE,TRUE,FALSE,0.544572361166248,1.3463446268291e-10,3.09165302335372e-13,9.54721611376582,-1.97447152236046,-4.94588926751962,TRUE,FALSE
GSE140829,9551,ATP5J2,69,-0.278766491035623,-0.0285540452899221,0.314825044809942,0.721489104268427,TRUE,FALSE,FALSE,0.527634422830929,1.362090880428e-10,3.16335494906561e-13,10.1297080753227,-1.00638576709468,-6.36836687778997,TRUE,FALSE
GSE140829,7295,TXN,70,-0.682802848865062,0.0474246422713693,0.23610986759097,0.658643945764585,FALSE,FALSE,FALSE,0.458184464734683,1.53995319865206e-10,3.61661155155486e-13,11.2232276892358,1.18650956693666,-6.17306424056988,TRUE,FALSE
GSE140829,6645,SNTB2,71,0.271123835158023,0.0705647543158619,0.00198441689971451,0.133297785612335,TRUE,TRUE,FALSE,0.572824312998986,1.87318795570307e-10,4.4612034490911e-13,8.80129270327542,3.11264210437243,-2.12184682269502,TRUE,FALSE
GSE140829,55339,WDR33,72,-0.224098458148944,-0.0103304465086673,0.566392246176732,0.860216566827097,TRUE,FALSE,FALSE,0.511755105641569,2.00212140837823e-10,4.85875713634923e-13,9.07326921529847,-0.57383888397599,-6.7067810392241,TRUE,FALSE
GSE140829,91942,NDUFAF2,73,-0.230661186294209,-0.0364482926786006,0.0919502860050784,0.486758020650063,TRUE,FALSE,FALSE,0.547880552247364,2.05339167638074e-10,5.03676263190308e-13,7.99422751248993,-1.68916311514433,-5.45997440499632,TRUE,FALSE
