feature_id,gene_symbol,s3_logFC,base_logFC,base_p_value,base_adj_p_value,adjusted_logFC,adjusted_p_value,adjusted_adj_p_value,dataset_accession,base_direction_concordant,adjusted_direction_concordant,base_nominal_concordant,adjusted_nominal_concordant,same_direction_after_adjustment,abs_logfc_change,adjusted_to_base_abs_ratio
OCIAD2,OCIAD2,-0.272302067867086,-0.0845425126710548,0.00657076942905736,0.0257776339139943,-0.0313733338778481,0.160164149619113,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0531691787932067,0.371095356485537
RARS,RARS,-0.203086783638014,-0.0349175252604064,0.0303001634513647,0.0467464235474285,-0.0214760651054887,0.157831110851136,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0134414601549177,0.615051179753589
SS18L2,SS18L2,-0.385992324028182,-0.0433545300377403,0.232933180054935,0.247491503808368,-0.00819392014688407,0.809731191933715,0.834268500780191,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0351606098908562,0.188998015657216
RPS20,RPS20,-0.384582445938332,-0.114163690519225,0.00582877036794669,0.0244619286250045,-0.074494155941639,0.052193973732222,0.197177234099505,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0396695345775855,0.652520565889508
COMMD6,COMMD6,-0.803438456238976,-0.118185661310178,0.205066858520598,0.22491203837743,-0.0657582835667022,0.474519307537652,0.537788548542672,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0524273777434759,0.556398152176174
RPL5,RPL5,-0.430325384849014,-0.163725862450763,0.000749005648454105,0.00901299529174895,-0.105548980902518,0.0146901198055673,0.149839222016787,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.058176881548245,0.644668956526397
RPL35A,RPL35A,-0.35337284526901,-0.119011459720816,0.0074190718290964,0.027026618805994,-0.0764089385876133,0.0636673674378467,0.208673510647936,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.042602521133203,0.642030093294021
GBA,GBA,0.218699492843149,0.101896811251391,9.38330742459596e-05,0.00720974300062578,0.0714390946219921,0.00179203848285905,0.0725458931933708,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0304577166293992,0.701092543963358
NBEAL2,NBEAL2,0.269263723774575,0.0704565610716778,0.0138193402502409,0.0361428898852454,0.0463362876746154,0.0890747852267325,0.242640388151028,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0241202733970624,0.657657526422216
RPL12,RPL12,-0.257195024354915,-0.0851207715804208,0.000426874282358401,0.00870823536011138,-0.054675302817956,0.00830132286589776,0.120962133188796,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0304454687624649,0.642326212542606
MBD6,MBD6,0.285615920011688,0.0883140619119314,0.00520994580991895,0.0235902065907345,0.0561162638722461,0.0545641182436022,0.198769287887408,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0321977980396852,0.635417085992562
RBX1,RBX1,-0.397755788455287,-0.0933446144227202,0.0690665696014484,0.0800544329471334,-0.0738473400584279,0.150235628232204,0.257902793673959,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0194972743642923,0.791125878178714
CMC2,CMC2,-0.277249530188643,-0.032740152611969,0.376279831840724,0.387682250987412,0.00325043621059846,0.925251546121365,0.934412452518606,GSE140829,TRUE,FALSE,FALSE,FALSE,FALSE,0.0359905888225675,0.0992798124407696
TBXAS1,TBXAS1,0.218255958612878,0.056367520192158,0.0471091049909316,0.0601353735872916,0.0191462817095332,0.417032248757771,0.500438698509325,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0372212384826248,0.339668689420133
RPL4,RPL4,-0.310680544495576,-0.0889151605013402,0.00965981971298524,0.0289794591389557,-0.0493519858177534,0.104911614131686,0.242640388151028,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0395631746835868,0.555045793534946
HK3,HK3,0.245696241059703,0.118798135176929,0.000282735019632383,0.00720974300062578,0.0753631965630253,0.00355617123496916,0.0725458931933708,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.043434938613904,0.634380299411138
